*--Comon Harman curve
*	with target as
*	(
*	SELECT "Freq" FROM "TARGET_CURVE_DATA"
*	where prefered is not null
*	union
*	SELECT "Freq" FROM "cat_preftunefreq"
*	)
*	SELECT "Freq"
*	,0
*	+df_lowshelf	(freq,48000	,   21.875, 0.4,0)
*	+df_lowshelf	(freq,48000	,   43.750,-0.8,0)
*	+df_lowshelf	(freq,48000	,   87.500, 6.8,0)
*	+df_highshelf	(freq,48000	,   87.500,-0.8,0)
*	+df_highshelf	(freq,48000	,  175.000, 0.2,0)
*	+df_highshelf	(freq,48000	,  350.000, 0.3,0)
*	+df_highshelf	(freq,48000	,  700.000,-0.4,0)
*	+df_highshelf	(freq,48000	, 1400.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 2800.000,-0.6,0)
*	+df_highshelf	(freq,48000	, 5600.000,-0.6,0)
*	+df_highshelf	(freq,48000	,11200.000,-0.4,0)
*	as SPL
*	FROM target order by freq
*Freq	SPL
17.324000	6.301723
18.354000	6.285184
19.445000	6.267635
20.507812	6.251017
20.602000	6.249583
20.874023	6.245484
21.606445	6.234810
21.827000	6.231712
21.972656	6.229698
23.071289	6.215403
23.125000	6.214747
23.437500	6.211015
24.169922	6.202847
24.500000	6.199437
24.536133	6.199074
25.634766	6.189031
25.957000	6.186448
26.000977	6.186108
27.465820	6.176485
27.500000	6.176299
27.832031	6.174576
28.930664	6.169946
29.135000	6.169256
29.296875	6.168745
30.761719	6.165441
30.868000	6.165285
31.127930	6.164945
32.592773	6.163995
32.703000	6.163979
32.958984	6.163966
34.423828	6.164375
34.648000	6.164484
34.790039	6.164556
36.621094	6.165424
36.708000	6.165451
36.987305	6.165518
38.818359	6.165045
38.891000	6.164984
39.184570	6.164695
41.015625	6.161175
41.203000	6.160623
41.381836	6.160059
43.579102	6.149820
43.654000	6.149353
43.945312	6.147458
46.142578	6.128808
46.249000	6.127697
46.508789	6.124903
48.706055	6.096287
48.999000	6.091774
49.072266	6.090619
51.635742	6.043391
51.913000	6.037472
52.001953	6.035539
54.931637	5.962541
54.931641	5.962540
55.000000	5.960619
55.297848	5.952133
55.297852	5.952133
58.227535	5.858636
58.227539	5.858635
58.270000	5.857147
58.593746	5.845678
58.593750	5.845678
61.523434	5.732106
61.523438	5.732106
61.735000	5.723235
61.889645	5.716695
61.889648	5.716695
65.185547	5.566412
65.406000	5.555641
65.551758	5.548472
69.213867	5.356430
69.296000	5.351872
69.580078	5.336029
73.242188	5.121349
73.416000	5.110711
73.608398	5.098891
77.636719	4.841739
77.782000	4.832153
78.002930	4.817539
82.397461	4.518821
82.407000	4.518159
82.763672	4.493348
87.158195	4.183085
87.158203	4.183084
87.307000	4.172471
87.524406	4.156955
87.524414	4.156954
92.285149	3.816043
92.285156	3.816043
92.499000	3.800737
92.651360	3.789835
92.651367	3.789834
97.778313	3.425931
97.778320	3.425930
97.999000	3.410452
98.144524	3.400255
98.144531	3.400255
103.637688	3.022885
103.637695	3.022885
103.830000	3.009980
104.003899	2.998331
104.003906	2.998331
109.863274	2.618018
109.863281	2.618017
110.000000	2.609448
110.229485	2.595097
110.229492	2.595096
116.455070	2.222338
116.455078	2.222338
116.540000	2.217482
116.821281	2.201443
116.821289	2.201442
123.413078	1.845728
123.413086	1.845728
123.470000	1.842826
123.779289	1.827110
123.779297	1.827109
130.737305	1.496140
130.810000	1.492908
131.103516	1.479905
138.427734	1.179136
138.590000	1.172975
138.793945	1.165260
146.484375	0.897784
146.830000	0.886790
146.850586	0.886138
155.273422	0.643255
155.273438	0.643255
155.560000	0.635787
155.639633	0.633721
155.639648	0.633720
164.794907	0.420054
164.794922	0.420054
164.810000	0.419739
165.161118	0.412430
165.161133	0.412429
174.316391	0.241935
174.316406	0.241935
174.610000	0.237062
174.682602	0.235863
174.682617	0.235862
184.936508	0.085884
184.936523	0.085884
185.000000	0.085066
185.302719	0.081184
185.302734	0.081184
195.922836	-0.038455
195.922852	-0.038455
196.000000	-0.039216
196.289047	-0.042056
196.289062	-0.042056
207.641586	-0.139216
207.641602	-0.139216
207.650000	-0.139278
208.007797	-0.141926
208.007812	-0.141926
219.726547	-0.217058
219.726562	-0.217058
220.000000	-0.218568
220.092758	-0.219078
220.092773	-0.219078
232.910141	-0.279474
232.910156	-0.279474
233.080000	-0.280153
233.276352	-0.280935
233.276367	-0.280935
246.826157	-0.326598
246.826172	-0.326598
246.940000	-0.326920
247.192368	-0.327629
247.192383	-0.327629
261.474609	-0.361098
261.630000	-0.361397
261.840820	-0.361802
276.855438	-0.385376
276.855469	-0.385376
277.180000	-0.385785
277.221649	-0.385837
277.221680	-0.385837
293.334930	-0.401860
293.334961	-0.401860
293.660000	-0.402109
293.701141	-0.402140
293.701172	-0.402140
310.913055	-0.412073
310.913086	-0.412073
311.130000	-0.412163
311.279266	-0.412225
311.279297	-0.412225
329.589813	-0.417582
329.589844	-0.417582
329.630000	-0.417590
329.956024	-0.417652
329.956055	-0.417652
348.998993	-0.419910
348.999023	-0.419910
349.230000	-0.419925
349.365204	-0.419934
349.365234	-0.419934
369.873016	-0.420579
369.873047	-0.420579
369.990000	-0.420581
370.239227	-0.420583
370.239258	-0.420583
391.845673	-0.420832
391.845703	-0.420832
392.000000	-0.420835
392.211884	-0.420839
392.211914	-0.420839
415.283173	-0.421812
415.283203	-0.421812
415.300000	-0.421813
415.649384	-0.421838
415.649414	-0.421838
439.819305	-0.424440
439.819336	-0.424440
440.000000	-0.424467
440.185516	-0.424495
440.185547	-0.424495
465.820282	-0.429474
465.820312	-0.429474
466.160000	-0.429556
466.186493	-0.429562
466.186523	-0.429562
493.652313	-0.437569
493.652344	-0.437569
493.880000	-0.437646
494.018524	-0.437693
494.018555	-0.437693
522.949219	-0.448974
523.250000	-0.449106
523.315430	-0.449134
554.077087	-0.463955
554.077148	-0.463956
554.370000	-0.464109
554.443298	-0.464147
554.443359	-0.464147
587.036072	-0.482463
587.036133	-0.482463
587.330000	-0.482638
587.402283	-0.482681
587.402344	-0.482681
622.192322	-0.504486
